sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:1814991	China				I. Fries, F. Feng, A. DaSilva, S.B. Slemenda, N.J. Pieniazek Nosema ceranae n sp (Microspora, Nosematidae), morphological and molecular characterization of a microsporidian parasite of the Asian honey bee Apis cerana (Hymenoptera, Apidae) Eur. J. Protistol., 32 (1996), pp. 356-365	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:1065257	Bombus hypocrita 	GEONAMES:1861060	Japan				N.I. Kondo, D. Yamanaka, Y. Kanbe, Y.K. Kunitake, M. Yoneda, K. Tsuchida, K. Goka Reproductive disturbance of Japanese bumblebees by the introduced European bumblebee Bombus terrestris Naturwissenschaften, 96 (2009), pp. 467-475, 10.1007/s00114-008-0495-4	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:3788082	Bombus hypocrita hypocrita	GEONAMES:1861060	Japan				N.I. Kondo, D. Yamanaka, Y. Kanbe, Y.K. Kunitake, M. Yoneda, K. Tsuchida, K. Goka Reproductive disturbance of Japanese bumblebees by the introduced European bumblebee Bombus terrestris Naturwissenschaften, 96 (2009), pp. 467-475, 10.1007/s00114-008-0495-4	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:1065256	Bombus ignitus	GEONAMES:1861060	Japan				N.I. Kondo, D. Yamanaka, Y. Kanbe, Y.K. Kunitake, M. Yoneda, K. Tsuchida, K. Goka Reproductive disturbance of Japanese bumblebees by the introduced European bumblebee Bombus terrestris Naturwissenschaften, 96 (2009), pp. 467-475, 10.1007/s00114-008-0495-4	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:1861060	Japan			1957	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:3437598	Paraguay			1971	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:3469034	Brazil			1972	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:1861060	Japan			1957	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:3437598	Paraguay			1971	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:3469034	Brazil			1972	T. Sakai, I. Okada The present beekeeping in Japan Glean. Bee Cult. (1974), pp. 356-357	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
